hole_cards,community_cards,win_probability
JC 5C,JD QD 7S QS,0.76
TS AH,5C 9C JH 9D 7S,0.457
5H 3D,AH 2H 2S 3C TD,0.537
4D KD,AS 9S 5D 5H QH,0.424
QS 6H,9H 6C TH 9C,0.609
4C 9H,KS 2C 7D 9D 6C,0.695
AH KD,AC 7C AS 3D,0.96
6S 7H,QH TS KC 5S KD,0.0848
2H 2S,KD 8H 5D 3H,0.429
6H 3D,3S 5C KC 7H QS,0.418
