hole_cards,community_cards,win_probability
7C AH,TS 9S 3S 6C,0.386
TD 8H,JS KD 7D,0.469
9C KS,7D 9H AS 8D 9S,0.93
4S 7S,5H 8S 8H TC,0.238
4D 7C,7S 5S QC QH,0.735
3H 3S,AD AS 5D TC,0.489
5C 2H,3S AD QD 3C,0.276
KS 9D,JH 5S 2S KC TD,0.852
JD 3C,3H 2S 3D,0.941
TD KS,JH AD 3S KH 9C,0.788
TD 4C,2D QD 6H JC,0.246
JD 4D,8C 2S 6S TH TD,0.129
TD 3C,KS 4H 9H 7H,0.161
3D AD,4D JD 4H,0.702
4S 5C,8C 6C 3C AH,0.331
6S JS,QD 6C 8S AC 9D,0.453
2H KD,8D AD 3S 7H 2S,0.465
5S QC,2H 9C 2C 8C 4D,0.207
8C 4C,TD KS QD,0.235
6S KC,9C 9S 2H KD 8S,0.816
JD AS,4C 8H TS 5C,0.418
3S 3D,2S 9D QH 2H,0.546
7S 8C,JD QC 9H,0.331
4C 9S,JD 3H 6C 9C,0.702
2H 3S,9D QS 3H,0.54
AC 8H,2H 6D AD TC,0.861
4H JS,5C TC AD,0.326
4H 5D,3H 9H 8D,0.211
7S JS,4C QS TC,0.385
QD AC,4C 9C 4S 3C TC,0.972
8D 5D,KD QS TD AC,0.381
7H JD,JC JH 6H 7C,0.996
AS 3C,9D JS 7D 6H,0.341
8D 5C,TD 4H 2S 8S,0.688
AD 5S,4H JC KD 8S,0.408
6H QH,6S AS KS 3D 7C,0.541
2H AC,4S JC 4D,0.553
9C AD,TH 6D QD 8C,0.504
KH 7D,JC AD 5H QS KD,0.6
2S JD,TC 4S 9S KD 6C,0.129
AH 9C,7S 3S 6D,0.459
9S 6C,3S KH 2D 3H 8C,0.0848
QS 9H,3D 6C 5D 7C JS,0.097
3H 6S,2H QD 3D 7C,0.58
2H 8C,6S 8D 6D,0.663
5S 6H,2S KD 5C,0.653
KD KS,QH 7S 4H 8H,0.734
TC JS,6C 3D 3S,0.376
QS 6C,5H KD QD,0.729
6S 2S,TD 4D KC JC KH,0.0404
7S 2S,3H JS 5H QH,0.0859
4S 7C,5D 9S QD 3D,0.165
5H JD,7D QS 3D 7S 2C,0.234
8C TS,TC JH 2C,0.722
TH TD,7S KH 5S,0.697
6S 3S,9S TD TH,0.25
QC 2C,6C JD JS 4D 4H,0.324
QC 6C,4C JD JC TS 6H,0.728
5C 6D,9H QS 7H 4H 6H,0.289
5H 9D,TC 6H 6D 7D 4S,0.0606
AC 2H,5S QC 6C 7H JH,0.267
3H 9H,9D TS 8H,0.604
3S TS,3H 2H 9D 9C 8H,0.658
2S 8H,2H 5D AC AD KD,0.498
2H 9D,4H KS 2D 3C KC,0.549
4S 2H,7S TD QS 2D 9H,0.376
TH 8S,QS JH 4H,0.468
5D 9S,8H 5H 4D 8S,0.689
TS 9H,3D 8C AS JH JD,0.283
KD JC,3H AS 2D QH,0.48
5S 7S,4H TH AH 6H 2D,0.00606
4D 2H,6H 4S 7H 8H,0.431
TD AC,9D 3S 2C 2H,0.546
4C 9H,4D AC 2C,0.608
5H 6H,8D QC KC,0.205
KD 7D,JC AS AD 5H QS,0.424
5C 4H,6H 9D 7S,0.353
KH QH,4H JH JD,0.7
3D 8C,9D 4C 5H,0.215
2H 3D,6C AS JS,0.154
9H 7S,JD 5S 5D,0.297
3C 3H,7H JD 9D,0.417
7C 3H,8H KH 4D,0.217
7H 8C,9S 9D 7S JS KC,0.517
5H 3D,6H 9H 6D,0.243
6S KC,QH 7C 3C,0.435
9H 6D,QH 7H 8C JD 6S,0.44
4H 4S,7C 3H 7S,0.651
9C 4S,2C KH 3C KD KC,0.135
4D AS,5H 5D QC 9S,0.509
8H 3S,3H JD 5S 5D,0.57
QS 4D,9H 2C TH,0.332
2C JC,5H 7H 4D 7C 5S,0.269
3C 5S,7C 4H 6C,0.883
8S JH,KS 3C TH TC 5H,0.271
3H TC,3D 2C 2S 4S,0.562
JD 4H,KC QD 9H,0.455
8H 3H,2D 7D AD 4H,0.151
6S 5S,8C QD JD,0.198
2S TS,JD AS 9H 8C,0.36
JD TH,2C AH TS 5S TC,0.955
JD 6C,3D 5D 5H,0.389
QH 9S,AC 4D 6C AD JS,0.376
2D TS,3C JH QC AD AS,0.315
8S KD,5H 8H 2H,0.63
8S AS,TS 3S 9S,0.982
4H QS,TS 3D 4D,0.625
8S AS,8C 6C TH 2D,0.716
JC TH,8S 3C JS,0.793
8H 4D,7D JH KS KD QH,0.145
TD 9S,QD AH 3C QC KS,0.315
5S TS,KH 2S 6D KC,0.28
6H TS,6C QD 6S,0.943
5S AD,9H 3S 7H,0.449
QS AH,5S TH KS 5D 8S,0.481
6C 4H,JC QH KD 8D,0.134
KH JS,TC JC JH 8C AD,0.892
AH QC,TH 3S 4C 9C,0.449
3S 4D,KS 4C 2S JD QS,0.47
QS 4D,5H KH 4H 5S,0.54
JD KD,JH 2C 3D AS,0.765
QD 7S,5H KD 9H TD AS,0.315
JD 9H,3S 8S AS,0.317
8S KH,3H AS 6D QD,0.424
TC 5D,TS 3H AD,0.725
AD KC,4C KH QD 2D JD,0.836
9D 7S,JS 3D 2H,0.273
7C 7S,JH 9S JS AS AC,0.0
8S 9H,3D 8D 4H,0.723
6D TS,4C 3D 9S 5D 4H,0.0727
TS KS,4C QC JS 2H,0.483
QD 4S,AC 4H 3C 8H,0.587
KH 6D,7S AD KC,0.782
6S QD,AC 5H KS 4D,0.378
QS 9C,7C 3S 7H 2C,0.374
2D TD,AH AC 2S,0.617
KD 7S,9C 3D 3S TS,0.413
6S QH,TD KD 7C JS,0.4
8D 2D,TS 8S 9D QC,0.434
3H 6C,2C TH 2S 6S,0.631
3C 2H,7D 6C 8C,0.151
QD 3C,4C 7S 9C KD,0.304
JS 9S,7S JC 4D 7D TC,0.792
TH AD,7D 7C KH,0.591
8S KD,AD 7S 5D KC QC,0.768
5S 3C,5H AC JD 8S,0.529
JH 9H,4C 3D 2D,0.292
4H KD,6S TC JS TD,0.418
5S AH,JH 3S 4D 6S,0.479
KC 2C,9S TS KD KH,0.91
8H JD,QD AS 4S TC,0.441
9H 5C,JS 4C 7H 5D,0.563
5D QD,QC 9D 5S QH AC,0.989
TS 9H,5H 2H 3S 8H 9C,0.761
AH 7S,KS KC KH 7H 9H,0.721
5H 8H,9S 2H 3S,0.272
2H KC,JS 4S 6C 4C 8H,0.299
KH 3H,JH JS 6S TC,0.418
AS 5S,9S TC 9D 6D,0.476
JH 5S,4S 6H 9H,0.331
JS QC,8H 3H 9C,0.481
TS 4D,6C 3D KC,0.284
4S 5S,2H 9S AC 3H 6H,0.946
KC 2H,3D QH 3S,0.47
8C 2S,6C QS TS TC,0.212
6H 9H,5C 9S JC KH,0.624
8C TS,KS 5D 8S,0.716
8C 9H,4D 3H 5H 3C,0.156
3S KS,8S 6H 9H,0.348
2S JD,TC 8H QH TS QC,0.436
9H 5C,7C KC 7D AS 3C,0.139
2C 4H,KH 5S 3C 3D JS,0.0
4D KH,AC QC AS KS,0.804
AD 3C,JH KS 9H QD 7D,0.222
9S KD,3H 9D KC,0.937
3H 3S,QC JC 7C 9H,0.342
4H 8C,5S AH JC 8H,0.629
3S 9H,8S AD 4H 4D KS,0.145
3H AC,KH TH JD 7S,0.408
9S TH,8H 3S 3D 5H QS,0.194
AS 4C,KC JH 8C 3D 3C,0.403
8D KC,2S 5S AS 2H,0.4
9H TC,JC JH TS 6H 9S,0.758
KC 4H,AH 7D 6H 3D,0.418
TD 8S,4H 9S QH,0.413
6S 6C,7S 3H QD 9C 3D,0.535
9C 7S,5C KD 4C,0.297
JC 9S,5C KC 9C 8C KH,0.887
TH 4S,6H QC 4C,0.562
4C 6D,4H KC 2S JH,0.592
QH 7H,QD 6C 2C 9H AC,0.73
4H 7S,6C TH 5S 3S,0.968
9C 9S,7H 5D 5H 4C 3H,0.657
TD 4H,KH 4C 7S 4D JD,0.946
8D 5C,AD 9H 6D 2S,0.228
5D JS,AC 2S 6D,0.342
2S AH,5C 6C 7C 9S,0.247
2S 2H,6D 3D JC,0.443
KC 9C,9S KD KH TC AH,0.989
9C AH,2S AD AS 8C 2D,0.955
5H 6D,3D 6C AH,0.665
9S TS,7C JH 8D 2C 5S,0.991
9C KC,2S AH TC JS AC,0.424
5H 9D,2C 8D 5S,0.647
AC 9D,7H KC KD,0.599
TC 6S,QC 3S 7H 3C AH,0.222
KH KD,9H 4C 8D,0.824
8C 2S,9C 2D 5H,0.544
9C JD,3D 2C 2S,0.371
8H 3H,5H 6C KH 2D 2S,0.0283
AD 3D,4S 6S KC 8S,0.313
6D 2H,5D 2D AS JD,0.531
3C 9C,8S KH 3H 6C JD,0.463
KD 6C,3H 7S 6S 2D 4H,0.601
KS 6H,KH QS KD TS JH,0.627
JS KS,JH 2C 5S,0.841
KC 5S,4C KS QC 2H,0.832
4H 3H,QS 5D 9D,0.167
AC QC,KC 2C 8H 3H,0.584
6D QH,5D 5C 8S 2H JH,0.222
7C 4S,QH 3C 6S 3S 3H,0.0404
AS 5D,AH 4C 7D 9D,0.843
3S AC,2D TH 8S,0.45
QH 2D,8H JD AD 5S,0.307
3C 4H,3H AS 7D 8H 3D,0.946
TH 6C,KH KD 3H,0.39
3H 3C,JD TH 6S AH TC,0.507
AC 2D,9S JD QC,0.408
AD 5D,3D 5C JD 7H,0.704
JS 5H,6S 5S 6C 2C,0.692
7H 8C,3H QC TS 7D QD,0.68
8C 9D,8H 2D 9S 3S,0.925
3S TC,8S 4D 5H,0.233
TS 7S,5S 3C KH 4D,0.255
QD 8S,2C AS 2H,0.455
TC KH,8S 7S 5H 7C,0.405
9D 5S,JC KD TH AD,0.273
7C 9S,5S AD TD,0.293
7S 7D,AS TC 9H,0.556
4C 7C,9C KS TH,0.257
TH AH,7S KH JC,0.615
3D 8D,TD QC 8H,0.606
JH 3H,6C 6D JS,0.776
JC TC,5C 9D JH,0.816
8H TS,TC 2S 4D 4S AS,0.637
9S 3H,7D KD 4D QH,0.158
QS 8D,AC 5D KS,0.466
3C QH,7H JD JH 3H 2H,0.888
AD QC,AS AC 5C KC TH,0.93
QS TC,QH TD 6H 3H 4D,0.909
4C AD,9H TC 7D,0.389
9D 6S,JS 6D QC 7D KD,0.4
TS AD,JD 8S JC,0.618
3S 2S,AH JD KD 5D 4D,0.623
QH QC,8C TD JS JC KD,0.742
3C 4H,5C 9D 8S 3D 9S,0.539
AH JH,QD TC 7H 9C,0.51
AH 3D,AD KH 4D 2S 5C,0.87
6C TS,8H 8C 2H 4S,0.229
7H AC,3H JH KS,0.493
2D 6S,KH 3S 2C,0.552
8D 2C,QD TH JS 9C 6D,0.71
QS 7C,9C 3H 5C,0.383
2S 6C,KS QS AD AS 2C,0.498
KH JS,2H AH QC TH 6D,0.955
8C 7D,9D 3C 3S,0.277
KH 7C,JH 6H TH,0.606
JC 2D,7D 5H 6H QC,0.185
QC 4S,TD AC 8S 5S JD,0.206
9H 7C,AH AD 4H,0.345
7C 9H,7D 5C 4D AH 4C,0.625
8H TD,AS 6D 4C AD,0.303
2H 6S,QH AH 9S,0.209
QS 3D,TC JD AD 3S JH,0.543
2S 3H,8S 7C AD,0.157
QD 5C,3D 4H 7C,0.436
AD KS,7D JH 3H,0.52
9H 2D,8C 5D QC KC 4D,0.0636
3C TD,3S 2S TH 2C,0.83
KC 7D,8H 7C 9S,0.553
9S 8D,9H KH 9C,0.914
5H AH,2H JS JH,0.713
6H KS,AH 3D QS 9C 5C,0.323
QS 2C,4S KS 5H 3C 5D,0.287
3S JH,TC TS KD QS JD,0.355
TS TC,4D QD KH,0.67
5S KS,JD 9D 8C 9S,0.375
3H 6D,7C TH JH TS,0.136
