hole_cards,community_cards,win_probability
5C 4H,8H 8C 9H 3D 7S,0.0121
7H 4H,3C TD 2C 6H AC,0.0
TC 9D,9C AD AH QS 3D,0.692
8D 9D,5S QH 3D 8S 2D,0.716
4C TS,KD 2H TC KH JC,0.663
7S 6S,6H 4C TH QS JD,0.488
TS 4D,5C 9H 7C 7H 6S,0.0283
AC QS,7H 9C TS 8C 5S,0.182
TD 9D,2D QS QC 9S 3H,0.854
KS 8H,TD AC 9C JD 9H,0.4
KD 4D,JH 2H 9C KC 7S,0.807
QS JC,JH 8H AH JD 3H,0.613
AH 4S,2C 5C 4H 2H 9C,0.549
TD 2S,KH 7H 4S QD JH,0.207
5H AC,JC 3C QS 6S 9S,0.264
TS JC,TH 7C 4C 9D KD,0.736
AD 6H,QH 7D JD 7H 3C,0.424
3H AS,QC 4S 2D TC KH,0.299
TH 4C,5H 3C 6D 7C JH,0.854
6H JD,9D 9S JS 5D QC,0.663
JC KD,8S 4D 7C 2D JD,0.813
4S 5C,AC 7S JS 8S 4H,0.382
AC JC,2H KS 7H 8S 8C,0.497
KD 4H,JS 7D 5H 5D 3S,0.303
5C KS,JD TH 7D KH 8C,0.66
3D 2S,3C QC 2H 9S 9H,0.655
KS 6S,JC 3C 9S AH 5H,0.323
7D KC,5S 2C 9C QD 4C,0.216
QH KH,4H AD AS 6C 7C,0.477
QC KH,5D QD AD 6C 8C,0.73
2C 5C,6D JD 9H 4H 9S,0.0121
3C 9C,6D 7C AH QS TC,0.145
KH 8C,8D 2D QD TC 7D,0.403
3D 2S,QC 5S QH AD 6C,0.0
3S 2S,TS 9C 2H 5S AH,0.412
JS 6D,8H KS JD 5D 9C,0.695
KD 7H,6S 7S 8H TS AD,0.433
AC 9H,2S QS 7S JS TS,0.0
TD 3S,8S AD 5C 2D 8H,0.133
5D 5S,JD 7D KH 6H 8S,0.382
KH KS,3H 2H 8S AH 4S,0.615
QS TS,9H AH 3H 5H 6D,0.118
2C TD,KC 5C 8D JS 6S,0.113
AD QC,AS 9D TS 3D JH,0.854
JH 8C,KD 7H 4S KS 6D,0.23
3S TD,JS 4D 8C QS 3D,0.459
KC QC,3S 6S KD 7C 5H,0.7
8C 8D,AD 5C 6S TS JH,0.586
9H 5H,4H KD AS 5D TS,0.498
2D 7H,KH 6C 6D 7S 3H,0.655
