hole_cards,community_cards,win_probability
AD 8C,QH KS 4C 5D,0.417
2S 6H,5D AC QH TS JC,0.0404
7D 4C,AS AH 2D,0.216
4D 6D,KH 5S 2D KD 7C,0.0121
JD TC,5S QS AD JC 3D,0.672
3S 4D,3C 7H 7C 5C 9C,0.291
QS 2H,9C 3D KD,0.347
6C KH,5C 6D 3H,0.637
QC KH,TS 2D 8S 3H,0.375
2S 9H,3S 6D 2H TH,0.486
2C 5C,AC AH QC 6C KD,0.944
KH QH,KD 6D JS QD 2C,0.909
8H QD,4S AS 4D 6S,0.31
7H 4H,KS AD 2D,0.177
8H 5S,2C 2D AC 3C JH,0.0677
TD 5S,KH QD 3D JC,0.361
5H 9H,4D AH JD 5C 8D,0.5
TH 2C,AD 7D 6D 4D 6C,0.0606
6H TC,QC 4D QS 7H 3H,0.158
4S 5H,6H 5C 8C 8S,0.534
TH 2C,TD 5C KH,0.699
QD 8C,TS 6S 4C 5H 9H,0.137
3H 7C,7H TC 4D,0.633
9C AS,6D AH JD 2H 7D,0.837
TC 2H,9H QD JH KD 5S,0.87
7H 9C,8C KH QD KD,0.23
6H 5S,2H 2C 5D 3D TS,0.633
QD 9C,7D TS QC 8H 5C,0.825
4D JC,QH KC 6S,0.35
3C 5S,7C 5D 2D 8C,0.514
QS AD,3D KS JD 7D,0.598
2H 6S,6H 8H JS 4C 3C,0.593
9D 5C,8S KH AS,0.242
TS JC,6H 5D 4C,0.259
TS 5C,QC 2S 5D TH 6C,0.932
3C 4H,JH 9S AH 2S,0.149
AS 5C,3S 6C 8D 3H TD,0.408
5C 8S,6S 4H 2H 3S,0.802
7D 4H,JS JD 3H,0.224
TC 2H,6S AD 5C,0.241
TC AH,9C 7S 5C 9S JD,0.457
KH 2D,JD 3C 3H 7C,0.381
2H 7C,QC 9C 8S 3H JS,0.0848
TS JH,TD AH 8S KC,0.703
AD 9S,KS 4S 6D 5D,0.355
KS 3C,AH 3D 6D QD,0.478
KC 6H,TD QH 2C 3D KH,0.823
4H KC,AH 7C 5D QC 2C,0.283
4S 8C,5D TH 4D 7H 4H,0.887
3H 4D,TC 7S 8S 6C,0.0942
AS JS,KS 4C 5H QH,0.489
QH 7S,4C AD JC 8C,0.267
2C AD,7S 9D KS,0.39
4H 6C,7H JS AD 8S 3C,0.0404
4H 4S,QD TC 3S,0.544
9H QH,AC 2D KS 2C TS,0.424
TD 7S,TC 5D JC QH 8C,0.463
JC 2C,8C 5D AC 3C,0.968
3C QH,6S 9C 5D 2D,0.267
9H 8D,AC AH 4C,0.293
6S 4D,4H 8S QS,0.569
5C 6D,AS TS TC,0.144
QH QD,JC KC 8S TD JS,0.742
9S 7S,KS JS KC,0.521
6H 3C,KS 5C 7D,0.29
9C 5S,3H 6D 8S 8H 5C,0.654
AS JC,KH 9S JS 9D JH,0.952
7H 5S,2D 5C AS,0.593
AD 4D,9H TC 5H KD 2D,0.299
KH 2S,9C AS 8H,0.39
6S 5H,AH JH TS QH,0.191
TD 7D,6H 8C 5H,0.431
KD 4H,JH 3H AD KC,0.724
TD QH,QD KD AC 5D AS,0.667
7S 9H,AD 3D 4D 5D 9D,0.0
4S 2S,3S JC JD 2C KH,0.549
3S 9H,TS 8S KH 8H QH,0.0
JD 5D,5H 5S KH 4C 2D,0.938
2C 8H,6D 4C JH AC,0.123
4S QS,4D AC 3S,0.621
4H QC,2H 6S TC 9S,0.218
JS 9C,TS 4D TD 4C 7H,0.234
5D KC,6H 5C 7S KD,0.832
3D JC,6D 9C 5D,0.267
4D 8S,5C 2S KH AC JC,0.0677
5C KS,QD AS AC,0.539
6D AS,3D KD TS KS,0.492
4S 3D,5D 4D AC AH QH,0.546
TC JD,3H TD 4S 5S,0.72
TC 8S,4H 8D AD 2C 5S,0.581
2S 2C,8C 3H JH,0.431
4D 8H,JD QC 4C 5C,0.441
3S 4C,7D 8S QD,0.116
7H 5D,9S 3D KH 5C 7D,0.901
9H 7S,QS 5H 3H 8H TC,0.115
8S JH,3H 5H QC KC 5C,0.294
JD 7H,JC JS 5H 6S QD,0.959
6C QD,4S 3S 2D 6D,0.568
5S 3H,7S 5C 9D,0.515
2H 5S,QH 7C KH 9S,0.0549
TH 9C,4H AC 7S 3C JD,0.162
4H 5H,9H 5S 6C QH 2C,0.499
3C TS,9C 7S 8H QH,0.276
5C KS,QC 3D 2C JS,0.318
2C QH,6C JD KS AH,0.415
7D 7S,TD 4H QH KC 8S,0.479
2S 6S,TS AD QH AH,0.0798
8D 3H,KC 7S 2C QD,0.136
5H KD,QD 8S 2S 3D,0.314
JD 8S,QS 9S KD 8D QD,0.545
3C 8D,2H 6D 5D KS 3S,0.405
JD 4H,5C 2S QC 7H,0.228
7S 7D,2H 8C JC 3D 3C,0.593
4H 7D,7S 2H 8D,0.637
3D 5C,AC JD QH 9D 8H,0.0
9C KH,7D 8D 8H QH 4C,0.347
2S QH,JH 7H QS QC 7S,0.955
KD JH,JC 4S KC 4H AD,0.766
4S JD,JC QD 3D 7S 9C,0.707
5D 3D,KS 8S 9S,0.0931
7C 3H,7H 4S KS 6D 5S,0.682
JS 4D,5D 6D 5C,0.329
JC 9S,8D 7H KH QD,0.392
2C 9C,8S TS 3D,0.227
TH 7C,JC KH QD,0.453
TH 6D,4H QH 3S JS TS,0.58
QS QC,KC 4H 9D 9S 5D,0.775
7C 4C,KH JD JC KS 5C,0.152
AD JC,3H JD 5D AS AH,0.998
AC 6D,QH 3H 9S,0.426
AH QH,3H 4H 3C,0.713
2H AH,JC 6S JS TS QH,0.366
2D 9H,KC 5C JH QD 6H,0.145



