hole_cards,win_probability
3D KC,0.51528
3D KS,0.51678
3D AH,0.56053
3D AD,0.58443
3D AC,0.5584
3D AS,0.559865
3C 2H,0.325
3C 2D,0.322645
3C 2C,0.358505
3C 2S,0.320835
3C 3H,0.537575
3C 3D,0.537385
3C 3S,0.53583
3C 4H,0.35043
3C 4D,0.351405
3C 4C,0.386135
3C 4S,0.353315
3C 5H,0.36402
3C 5D,0.36044
3C 5C,0.395195
3C 5S,0.360675
3C 6H,0.361105
3C 6D,0.362215
3C 6C,0.39576
3C 6S,0.35884
3C 7H,0.366465
3C 7D,0.36435
3C 7C,0.39963
3C 7S,0.364705
3C 8H,0.37529
3C 8D,0.378975
3C 8C,0.411095
3C 8S,0.374895
3C 9H,0.398845
3C 9D,0.401125
3C 9C,0.429875
3C 9S,0.40103
3C TH,0.425315
3C TD,0.42489
3C TC,0.455745
3C TS,0.42481
3C JH,0.4507
3C JD,0.45469
3C JC,0.48134
3C JS,0.45359
3C QH,0.48312
3C QD,0.48192
3C QC,0.50953
3C QS,0.48204
3C KH,0.513695
3C KD,0.51652
3C KC,0.541845
3C KS,0.51271
3C AH,0.55841
3C AD,0.55589
3C AC,0.58282
3C AS,0.559865
3S 2H,0.32149
3S 2D,0.323635
3S 2C,0.323215
3S 2S,0.35992
3S 3H,0.54043
3S 3D,0.5358
3S 3C,0.539665
3S 4H,0.349805
3S 4D,0.35351
3S 4C,0.350135
3S 4S,0.386195
3S 5H,0.361525
3S 5D,0.361965
3S 5C,0.35921
3S 5S,0.396315
3S 6H,0.36075
3S 6D,0.35728
3S 6C,0.36049
3S 6S,0.398685
3S 7H,0.366845
3S 7D,0.365835
3S 7C,0.366355
3S 7S,0.397675
3S 8H,0.376135
3S 8D,0.372825
3S 8C,0.375405
3S 8S,0.40965
3S 9H,0.402265
3S 9D,0.399965
3S 9C,0.398855
3S 9S,0.430215
3S TH,0.426745
3S TD,0.427595
3S TC,0.42894
3S TS,0.459005
3S JH,0.450925
3S JD,0.451365
3S JC,0.4526
3S JS,0.48295
3S QH,0.483465
3S QD,0.480705
3S QC,0.48254
3S QS,0.50734
3S KH,0.5133
3S KD,0.513805
3S KC,0.514155
3S KS,0.542165
3S AH,0.561635
3S AD,0.5597
3S AC,0.55797
3S AS,0.580065
4H 2H,0.369295
4H 2D,0.33165
4H 2C,0.331685
4H 2S,0.328285
4H 3H,0.384945
4H 3D,0.35151
4H 3C,0.35192
4H 3S,0.353145
4H 4D,0.568205
4H 4C,0.57067
4H 4S,0.57158
4H 5H,0.414145
4H 5D,0.381345
4H 5C,0.382375
4H 5S,0.37928
4H 6H,0.4158
4H 6D,0.378915
4H 6C,0.37806
4H 6S,0.37964
4H 7H,0.41924
4H 7D,0.381825
4H 7C,0.3862
4H 7S,0.38493
4H 8H,0.425885
4H 8D,0.39298
4H 8C,0.39694
4H 8S,0.395165
4H 9H,0.437345
4H 9D,0.40461
4H 9C,0.407045
4H 9S,0.40708
4H TH,0.46481
4H TD,0.43176
4H TC,0.433585
4H TS,0.43397
4H JH,0.489985
4H JD,0.461295
4H JC,0.45928
4H JS,0.462165
4H QH,0.52046
4H QD,0.490705
4H QC,0.49375
4H QS,0.492055
4H KH,0.548885
4H KD,0.52259
4H KC,0.52279
4H KS,0.522395
4H AH,0.588095
4H AD,0.565585
4H AC,0.56674
4H AS,0.568605
